figure,panel,task,scenario,stage,tier,metric,estimate,ci_lower,ci_upper,category,status,note
2,A,,absorption_balanced,,I0,oracle_piv_nats,0.106979070146973,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I0,implemented_ifv_nats,0.10840729507303,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I0,fusion_implementation_gap_nats,-0.00142822492605634,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I1,oracle_piv_nats,0.0623716587048309,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I1,implemented_ifv_nats,0.0636353504386307,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I1,fusion_implementation_gap_nats,-0.00126369173379983,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I2,oracle_piv_nats,0.0222777634261652,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I2,implemented_ifv_nats,0.0229863243671611,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I2,fusion_implementation_gap_nats,-0.0007085609409959,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I3,oracle_piv_nats,0.00421829626486051,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I3,implemented_ifv_nats,0.00439074807742862,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_balanced,,I3,fusion_implementation_gap_nats,-0.000172451812568111,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I0,oracle_piv_nats,0.0609551696978738,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I0,implemented_ifv_nats,0.0596822529495724,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I0,fusion_implementation_gap_nats,0.00127291674830136,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I1,oracle_piv_nats,0.0350415841928937,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I1,implemented_ifv_nats,0.0342194990708924,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I1,fusion_implementation_gap_nats,0.000822085122001237,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I2,oracle_piv_nats,0.0123981968865691,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I2,implemented_ifv_nats,0.0118040066006426,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I2,fusion_implementation_gap_nats,0.000594190285926488,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I3,oracle_piv_nats,0.00231381766915139,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I3,implemented_ifv_nats,0.00199595996169769,,,,,Prespecified known-truth simulation aggregate
2,A,,absorption_rare,,I3,fusion_implementation_gap_nats,0.000317857707453703,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I0,oracle_piv_nats,0.0910535156012008,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I0,implemented_ifv_nats,0.0911198810922347,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I0,fusion_implementation_gap_nats,-6.63654910339095e-05,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I1,oracle_piv_nats,0.0959566848323962,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I1,implemented_ifv_nats,0.0959759058878678,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I1,fusion_implementation_gap_nats,-1.92210554716132e-05,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I2,oracle_piv_nats,0.101185514889232,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I2,implemented_ifv_nats,0.101298353649852,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I2,fusion_implementation_gap_nats,-0.000112838760620843,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I3,oracle_piv_nats,0.104673029869965,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I3,implemented_ifv_nats,0.104943249010864,,,,,Prespecified known-truth simulation aggregate
2,B,,persistent_unique,,I3,fusion_implementation_gap_nats,-0.000270219140898409,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I0,oracle_piv_nats,0,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I0,implemented_ifv_nats,-5.06119777158143e-05,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I0,fusion_implementation_gap_nats,5.06119777158143e-05,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I1,oracle_piv_nats,0,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I1,implemented_ifv_nats,-5.15575929314782e-05,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I1,fusion_implementation_gap_nats,5.15575929314782e-05,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I2,oracle_piv_nats,0,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I2,implemented_ifv_nats,-7.12427193462983e-05,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I2,fusion_implementation_gap_nats,7.12427193462983e-05,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I3,oracle_piv_nats,0,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I3,implemented_ifv_nats,-7.0937947918398e-05,,,,,Prespecified known-truth simulation aggregate
2,C,,ecg_null,,I3,fusion_implementation_gap_nats,7.0937947918398e-05,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I0,oracle_piv_nats,0.106979070146973,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I0,implemented_ifv_nats,-0.00868211197729309,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I0,fusion_implementation_gap_nats,0.115661182124266,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I1,oracle_piv_nats,0.0623716587048309,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I1,implemented_ifv_nats,-0.0156018479254892,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I1,fusion_implementation_gap_nats,0.0779735066303201,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I2,oracle_piv_nats,0.0222777634261652,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I2,implemented_ifv_nats,-0.0110428118949488,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I2,fusion_implementation_gap_nats,0.033320575321114,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I3,oracle_piv_nats,0.00421829626486051,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I3,implemented_ifv_nats,-0.00319076044718534,,,,,Prespecified known-truth simulation aggregate
2,D,,implementation_failure,,I3,fusion_implementation_gap_nats,0.00740905671204585,,,,,Prespecified known-truth simulation aggregate
2,G,,,,,gate_pass_count,9,,,,PASS,All nine prespecified recovery gates passed
3,A,perioperative_ecg,,train,I0,implemented_ifv_normalized,0.0485053534435,0.0341699101961,0.0623390863984,,,Pointwise confidence interval; not family-wise simultaneous inference
3,A,perioperative_ecg,,train,I1,implemented_ifv_normalized,0.0236404166426,0.00914599227544,0.0383410159818,,,Pointwise confidence interval; not family-wise simultaneous inference
